Name of framework,Scope and definition,Objectives,Country (-es) concerned,"Type of framework (research project, data protocol, framework, publication, international and EU standard, strategic plan or initiative)",Maturity framework/methodology,"What stakeholders are involved into this framework (tenant, occupant, building owner, maintenance company, public administration)?",How it concerns renovation process?,"How it concerns social aspects of life (life of occupants living in dwellings and buildings, site disputes, public access, energy poverty, resilience, satisfaction)?","What technical domains of buildings it concerns (if it is the case)? Heating, Cooling, Ventilation, Domestic Hot Water, Lighting, Dynamic building envelope, Electricity, Electric vehicle charging, Monitoring and control, Others","Scale of application (component, buildng, urban)",Most relevant KPIs - + highlight those related to the MULTICARE KPIs,Frequency of application,Year of publication of this framework,Last updated version,Source of information,Coordination within MULTICARE: partner involved in the assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPMVP,"IPMVP provides generally accepted Measurement and Verification (M&V) principles.
Particularly, M&V is a process for quantifying the actual energy savings achieved through the implementation of Energy Conservations Measures (ECMs), retrofits or load management. ",1) To give standard practice for M&V.,World (Global),Protocol,Full Launch,All the project stakeholders that aim to quantify the energy savings over a specific period in the new projects or retrofit projects.,Quantifies the energy savings after a renovation.,"Addresses thermal comfort and, thus, influences the life of building occupants.","Heating, Cooling, Ventilation, Domestic Hot Water, Lighting, Dynamic building envelope,  Electricity & Electric vehicle charging, Monitoring and control, Others.","Level 1: Retrofit Isolation, Key parameter(s) measurement
Level 2: Retrofit Isolation, All parameter measurement.
Level 3: Whole facility
Level 4: Calibrated Simulation",1) Energy Savings,N/A,1998,2018,"https://evo-world.org/en/library/download-protocol-documents-mainmenu-en/ipmvp-core-concepts/2025-2022-new-ipmvp-core-concepts-in-english

(Efficiency Valuation Organisation, “IPMVP Generally Accepted Principles: International Performance Measurement and Verification Protocol”, 2018)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITACA protocol - buildings,"The Itaca Protocol is a tool for assessing the level of energy and environmental sustainability of buildings by verifying the performance in reference to:
- building consumption
- energy efficiency
- impact on the environment
- impact on human health.  
                                                        The ITACA Protocol is derived from the SBTool international evaluation model, developed as part of the Green Building Challenge research process, and contextualized to the Italian territory in relation to the reference legislation and its environmental characteristics.

","1) To provide a design support tool for professionals.
2) To provide a control and guidance tool for the public administration.
3) To support the choice of consumers.
4) To enhance an investment for financial operators.",IT,Protocol,Full Launch,"All building stakeholders accross all building lifecycle from design and construction stages to end users, including governance level.","Reflects on building sustainability, energy efficiency and human health.",(see criteria),(see criteria),Level 1: Building (residential and non residential buoldings),"Multi-criteria analysis system for assessing environmental sustainability, structured according to three hierarchical levels:

1) Areas, which represent macro-themes that are considered significant for the purposes of assessing the environmental sustainability of a building, such as:
Area A. Site quality
Area B. Consumption of resources
Area C. Environmental loads
Area D. Indoor environmental quality
Area E. Quality of service

2) Categories, each of which deals with a particular aspect of the area topic to which it belongs.

3) Criteria, each of which explores a particular aspect of the category to which they belong. Finally, the criteria represent the evaluation items of the method and are used to characterize the building's performance at the beginning of the evaluation process.",The Protocol  is mandatory for interventions with public funding exceeding 50%.,2004,2022 (yearly upgraded),https://www.itaca.org/nuovosito/index.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italia in classe A,"Italia in classe A is a national training and information Program for Energy Efficiency based on different types of programs (information, social interaction and cognitive education).
","1) To decarbonize the EU’s energy system so as to reach 2030 climate objectives and become carbon neutral by 2050.
2) To reach a variety of target audiences through using different actions and tools (Roadshow, Radio-TV Campaign, energy efficiency month, apps). 

",IT,National Programme according to EED,Full Launch,"Large companies and SMEs, Public Administration, citizens, school students, vulnerable households.",N/A,Addresses multiple effects of energy effiency.,"Heating, Cooling, Building envelope, Renewable Energy Systems.",Different measures are applied according to the targeted cluster.,"1) Energy efficiency retrofitting
2) Energy savings
3) Number of technicians trained
4) Number of households reached 
5) Number of decision makers",Every 3 years,2019,2022,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA 8800,NTA 8800 is a framework for defining the metrics related to building-related energy use in the Netherlands context.,"1) To provide calculation method for the metrics used to evaluate the energy performance of buildings. 
2) To explain related terms and definitions.",NL,National framework (technical agreement),Full Launch,All stakeholders involved in quantifying building energy performance.,Describes how to calaculate the metrics used to assess the energy performance of the building before and after the renovation.,N/A,"Heating, Cooling, Ventilation, Domestic Hot Water, Lighting, Electricity, HVAC, Renewable energy generation",Level 1: Building,"1) Heating and cooling requirement (BENG1 score)
2) Primary fossil energy use (BENG2 score)
3) Share of renewable energy (BENG3 score)
4) Overheating risk for new-built (TOJuly)",The framework is applied for calculating the energy performance of all buildings in NL.,2018,2024,https://connect.nen.nl/Family/Detail/71823?compId=10037&collectionId=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat transition vision Amsterdam ,A framework on the heat transition to a natural gas-free Amsterdam.,1) To have the lowest societal cost.,NL (Amsterdam),Strategic plan for the municipality of Amsterdam ,Full Launch,"Tenants, occupants, building owners, maintenance companies, public administration.",Renovation and retrofitting are essential parts for the various  proposed heat systems. ,Reflects on life of occupants living in dwellings and buildings and their satifaction.,"Heating, Cooling, Ventilation, Domestic Hot Water.",Level 1: Municipal (Urban),"1) Energy Demand
2) Renewable Energy Generation ",This framework is applied in the city of Amsterdam and will be updated and relaunched every 5 years. ,2020,2020,https://openresearch.amsterdam/nl/page/63522/transitievisie-warmte-amsterdam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Program Regionale Energie strategie,The RES aims to generate renewable energy on land and seek renewable heat sources.,1) To generate at least 35 TWh of large-scale renewable electricity on land by 2030. ,NL,Strategic plan,Full Launch,Public administration.,Discusses the possibilities of implementing renewable energy and alternative heat sources in the built enviroment. ,"Addresses life of occupants living in dwellings and buildings, site disputes, public access and energy poverty.","Heating, Cooling, Domestic Hot Water, Electricity, Electric vehicle charging, Monitoring and control.","Level 1: Building 
Level 2: Urban
Level 3: Regional
Level 4: National                                                                                                            ","1) Energy Demand & Consumption
2) Renewable Energy Generation
3) System efficiency ",N/A,2021,2024,https://www.regionale-energiestrategie.nl/actueel/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Performance of Buildings Directive (EPBD),The EPBD focuses on building energy performance improvement in light of the need to curb carbon emissions.,1) To improve building energy performance and reduce greenhouse gas emissions towards achieving a zero-emission building stock by 2050.,EU,Strategic Plan,Full Launch,"Tenants, occupants, building owners, public administration.",Discusses energy performance goals and guidelines for renovating the existing building stock; staged renovation roadmaps; National Building Renovation Plan.,Addresses life of occupants living in dwellings and buildings and energy poverty.,"Heating, Cooling, Ventilation, Domestic Hot Water, Lighting, Monitoring and Control, Electric Vehicle Charging.","Level 1: Building 
Level 2: National 
",N/A,Applied with adjustments to all EU countries.,2010,2024,https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficient-buildings/energy-performance-buildings-directive_en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Living Environment Decree (Bouwbesluit),The Building Environment  Decree discusses the standards for new buildings and renovations in Netherlands.,"1) To provide information on the maximum BENG (english: NZEB) requirements per building function.
2) To provide limits regarding component thermal transmittance.",NL,Standards for NL buildings,Full Launch,"Tenants, occupants, building owners, public administration.",Sets the limitations for thermal performance in renovations.,Concerns life of occupants living in dwellings and buildings.,"Heating, Cooling, Ventilation, Domestic Hot Water, Lighting.","Level 1: Component 
Level 2: Building","1) Thermal resistance
2)  Heat transmission coefficent
3) Air volume flow
4) Energy needs
5) Primary fossil energy use
6) Share of renewable energy",All buildings in the Netherlands.,2018,2024,https://wetten.overheid.nl/BWBR0041297/2024-01-01#Hoofdstuk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Proof Program (Delta Sustainable Renovation Plan),The Paris Proof Program (Delta Sustainable Renovation Plan) is a multi-year sustainability program for non-residential buildings and homes to meet the Paris Proof climate objectives.,1) To provide targets for Annual Energy Intensity and embodied CO2 emissions per building function.,NL,Framework,Full Launch,"Tenants, occupants, building owners, public administration.",Sets the goals in terms of energy use (kWh/m2) and embodied CO2 emissions in order to achieve the Paris Proof goals.,Concerns life of occupants living in dwellings and buildings.,Total building energy use.,Level 1: Building,"1) Actual Energy Intensity (Weii indicators)
2)  Paris Proof material-related indicator (PPm)",N/A,2021,2021,https://www.dgbc.nl/themas/paris-proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Regulation,The Environmental regulation  discusses general rules related to the activities described in the Building and Living Environment Decree.,"1) To provide standards for the relevant activities and set the limits for the energy label classification. 
2) To provide calculation methods for metrics related to system energy performance.",NL,Standards for NL buildings,Full Launch,"Tenants, occupants, building owners, public administration.",Determines the limits for the energy label classification system.,Concerns life of occupants living in dwellings and buildings.,"Heating, Cooling, Ventilation, Domestic Hot Water, Lighting.","Level 1: Component 
Level 2: Building","1) Energy performance of cooling system and ventilation system
2) Primary Energy Use",N/A,2018,2024,https://wetten.overheid.nl/BWBR0045528/2024-04-01/#Hoofdstuk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
