Name of framework,Scope and definition,Objectives,Country (-es) concerned,"Type of framework (research project, data protocol, framework, publication, international and EU standard, strategic plan or initiative)",Maturity framework/methodology,"What stakeholders are involved into this framework (tenant, occupant, building owner, maintenance company, public administration)?",How it concerns renovation process?,"How it concerns social aspects of life (life of occupants living in dwellings and buildings, site disputes, public access, energy poverty, resilience, satisfaction)?","What technical domains of buildings it concerns (if it is the case)? Heating, Cooling, Ventilation, Domestic Hot Water, Lighting, Dynamic building envelope, Electricity, Electric vehicle charging, Monitoring and control, Others","Scale of application (component, buildng, urban)",Most relevant KPIs - + highlight those related to the MULTICARE KPIs,Frequency of application,Year of publication of this framework,Last updated version,Source of information,Coordination within MULTICARE: partner involved in the assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood Directive (Directive 2007/60/EC),"The purpose of this Directive is to establish a framework for the assessment and management of flood risks, aiming at the reduction of the adverse consequences for human health, the environment, cultural heritage and economic activity associated with floods in the community.","1) To establish a framework for all the EU countries intended to mitigate the flood risk. Among the objectives included in this Directive it can be mentioned: 
i) development of a preliminary flood risk assessment
ii) development of flood hazad and flood risk maps
iii) development of flood risk management plans.",EU,EU standard,Full Launch,"Building owners, public administration",Through assessment and management of flood risk using specific measures like the development of flood hazard maps.,Focuses on the improving of occupants living in dwellings by proposing efficient flood mitigation measures.,Flood risk management                                      Damage mitigation,"Leve1: River scale                       Level 2: Urban scale                       Level 3: River basin scale
","1) Structural performance
2) Social impact
3) Flood resilience",Continuously applied and evaluated.,2007,2007,https://eur-lex.europa.eu/eli/dir/2007/60/oj,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Deltaprogram 2023,National strategy that protects the Netherlands from flooding and ensures sufficient freshwater.,"1) To ensure that Netherlands is protected against flooding, freshwater shortages and weather extremes with the right measures and a long-term view: concretely until 2050 and with a look ahead beyond 2100.",NL,Strategic plan,Full Launch,"Maintenance companies, public administration.",This framework addresses water management and floods with an emphasis on climate adaptation to flood risks.  ,Addresses life of occupants and climate resillience.,"Flood management, spatial adaptation.",Level 1: Regional          Level 2: National  ,"1) Structural performance
2) Social-economic
3) Social",The national Delta program is a framework legally established and nationally implemented. There are annual updates to this framework. ,2023,2023,https://minienw.sitearchief.nl/?subsite=dp2023deltaprogramma#archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omgevingsprogramma Riolering 2022/2027 (Environmental program Sewerage 2022 - 2027),"The program focuses on improving the sewerage system to cope with future challenges, such as climate change, urbanization, and the need for sustainable water management.","1) Enhance the capacity and resilience of the sewerage system. 
2) Reduce the environmental impact of sewerage. 
3) Integrate sewerage management with urban planning and climate adaptation strategies.",NL (Amsterdam),Strategic plan,In Progress,"Public administration, maintenance companies, building owners, and occupants.",The framework addresses the renovation and upgrading of existing sewerage infrastructure to meet new standards and future demands.,"Enhances the quality of life by reducing flood risks, preventing sewer overflows, and ensuring a sustainable urban environment.","Sewerage, drainage, and flood management systems.","Level 1: Local
Level 2: Regional
Level 3: National","On page 12, the document shows a diagram of the Integrated Design Method for Public Space that depicts mutual dependencies between eleven themes for the Amsterdam programs.

Eleven themes:
1) Algemene Taken (General Duties)
2) Overkoepelend (Overaching)
3) Data (Dates)
4) Klimaatadaptie (Climate adaptation)
5) Flora en Fauna (Flora and Fauna)
6) Energie (Energy)
7) Bodem en Ondergrond (Soil and Subsoil)
8) Mobiliteit (Mobility)
9) Materialen (Materials)
10) Sociaal (Social)
11) Gezondheid (Health)",The framework is mandatory within the Amsterdam region and is continuously applied and evaluated throughout its implementation period.,2022,First edition,https://www.waternet.nl/siteassets/ons-water/omgevingsprogramma-riolering-2022-2027.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood Management Risk (inundații.ro),The framework includes several components specific to flood risk management in Romania in the context of climate change.,1) Provide procedures used to estimate the flood and flash-flood risk.                                               2) Enhance the capacity of the local communities for an efficient flood risk management.                                                3) Develop the flood hazard and risk maps at national level.                         ,RO,Framework,Full Launch,Public administration and building owners.,The framework includes a guideline for good practices on adaptation measures applicable to existing buildings and new buildings located in floodplains.,Focuses on the improving of occupants living in dwellings by proposing efficient flood mitigation measures and buildings.,"Flood risk management,                                     Damage mitigation.","Leve1: Local                       Level 2: Regional                       Level 3: National
","1) Structural performance
2) Social impact
3) Flood resilience",Continuously applied and evaluated,2023,First edition,https://inundatii.ro/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDi,Framework to guide in the design and assessment of the overall resilience of the building.,"1) Provide performance objectives to enhance the resilience of the building.
2) Provide guidelines to ecxeed code performance objectives.
3) Propose a rating system for resilience.",US - Global,"Framework, Strategic Plan or Initiative",Well established methodologies released by a private company.,"Building owners, engineers and designers, tenants/occupants, maintenance companies, public administration.
","The framework emphasizes designing renovations that enhance the flood resilience of buildings. It involves upgrading structural and non-structural components to meet the REDi resilience objectives, ensuring that buildings can withstand future flood events and recover swiftly.","Improves safety, reduces downtime and enhances resilience.","Structural systems, Building envelope, Mechanical Electrical Plumbing, Monitoring and Control Systems, Building content, Utility services.","Level 1: Local
Level 2: Regional","1) Environmental impact
2) Economic impact
3) Social impact
4) Flood Resilience",N/A,2023,1.0,REDi+for+Floods_V1.1_FINAL.pdf (squarespace.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
