Name of framework,Scope and definition,Objectives,Country (-es) concerned,"Type of framework (research project, data protocol, framework, publication, international and EU standard, strategic plan or initiative)",Maturity framework/methodology,"What stakeholders are involved into this framework (tenant, occupant, building owner, maintenance company, public administration)?",How it concerns renovation process?,"How it concerns social aspects of life (life of occupants living in dwellings and buildings, site disputes, public access, energy poverty, resilience, satisfaction)?","What technical domains of buildings it concerns (if it is the case)? Heating, Cooling, Ventilation, Domestic Hot Water, Lighting, Dynamic building envelope, Electricity, Electric vehicle charging, Monitoring and control, Others","Scale of application (component, buildng, urban)",Most relevant KPIs - + highlight those related to the MULTICARE KPIs,Frequency of application,Year of publication of this framework,Last updated version,Source of information,Coordination within MULTICARE: partner involved in the assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menukaart Hitte (Heat Menu),"Heat Menu is a comprehensive framework to address heat impacts on health, buildings, and urban areas.","1) To enhance resilience to heatwaves.
2) To protect vulnerable populations. 
3) To improve urban living conditions and reduce heat stress.",NL,Strategic Plan,Full Launch,"Public administration, building owners, tenants, maintenance companies, healthcare providers.",Incorporates heat-resistant measures into building renovations to improve resilience.,"Focuses on reducing heat-related health issues, improving comfort, and enhancing community well-being.","Heating, Cooling, Ventilation, Dynamic building envelope, Monitoring and control.","Level 1: Local
Level 2: Regional
Level 3: National","1) Health impact
2) Environmental impact
3) Social impact
4) Economic impact
5) Resilience","Continuously applied and evaluated by Rijksdienst voor Ondernemend Nederland (RVO, Netherlands Enterprise Agency).",2022,First Edition,https://infographics.rvo.nl/klimaatadaptatie/menukaart-hitte/#mii-rvokah-page-menukaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationaal Hitteplan (National Heat Plan),The plan aims to mitigate health risks associated with prolonged heat waves by providing guidelines and alerts to protect vulnerable populations.,"1) To prevent health problems caused by heat. 
2) To ensure care for vulnerable groups such as the elderly, chronically ill, and young children. 
3) To provide timely alerts and advice during heatwaves.",NL,Strategic Plan,Full Launch,"Public administration, healthcare professionals, informal carers, the Dutch Red Cross, and municipal public health services.",Encourages the incorporation of cooling measures and heat-resistant building designs in urban planning.,"Focuses on public health by preventing heat-related illnesses, promoting awareness, and encouraging community support.","Heating, Cooling, Ventilation.","Level 1: Regional
Level 2: National","1) Health impact
2) Environmental impact
3) Social impact
4) Operational impact","The plan is activated as needed during heatwaves, with nearly annual evaluations since its inception.",2007,2023,"https://www.rivm.nl/hitte/nationaal-hitteplan

https://www.knmi.nl/producten-en-diensten/verhalen/Nationaal-Hitteplan-als-warm-weer-een-risico-is",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werkwijze Ruimtelijke Klimaatadaptatie (Spatial Climate Adaptation Method),"Framework for spatial climate adaptation focusing on water management, drought, heat, and flood prevention.","1) Enhance resilience to climate change. 
2) Integrate climate adaptation measures in urban planning. 
3) Protect urban areas from climate-related risks.",NL (Amsterdam),Strategic Plan,In Progress,"Public administration, urban planners, maintenance companies, building owners, tenants, researchers.",Involves integrating climate-resilient measures in the renovation and design of urban spaces.,"Addresses public health, safety, and well-being by mitigating climate risks like heatwaves and flooding.","Heating, Cooling, Ventilation, Dynamic building envelope, Water management, Green infrastructure.","Level 1: Local
Level 2: Regional","1) Climate resilience 
2) Environmental impact 
3) Social impact 
4) Economic impact",Continuously applied and evaluated through pilot projects and ongoing updates,2021,First Edition,https://openresearch.amsterdam/en/page/71118/werkwijze-ruimtelijke-klimaatadaptatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handreiking Lokaal Hitteplan (Local Heat Plan Guide),This framework provides a detailed approach for local authorities to develop and implement heat plans to mitigate the effects of heatwaves on vulnerable populations.,"1) Prevent and mitigate heat-related health problems.
2) Enhance self-reliance and community support during heatwaves.
3) Coordinate actions among local stakeholders to protect vulnerable groups.",NL,Strategic Plan,Full Launch,"Public administration, healthcare providers, social care organizations, volunteers, general public, municipal health services (GGD), Red Cross, elderly care institutions.",Encourages integrating heat-resistant measures in building renovations to improve resilience to heatwaves.,"Focuses on protecting vulnerable populations, improving community resilience, and reducing social isolation which exacerbates heat stress.","Cooling, Ventilation, Dynamic building envelope, Monitoring and control.",Level 1: Local,"1) Health impact
2) Social impact
3) Environmental impact
4) Operational effectiveness",Applied annually with continuous evaluations to improve the framework.,2019,First Edition,https://klimaatadaptatienederland.nl/hulpmiddelen/overzicht/lokaal-hitteplan/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGD guideline for medical environmental science: heat and health,Guidelines to harmonize and optimize GGD actions on environmental health issues related to heat and its impact on public health.,"1) Identify health effects of heat. 
2) Protect vulnerable groups. 
3) Provide measures to prevent heat-related health issues. 
4) Offer urban planning advice for heat resilience.",NL,Strategic Plan,Full Launch,"Public administration, healthcare providers, urban planners, social care organizations, general public.",Encourages incorporating heat-resilient designs and cooling measures in building renovations.,"Focuses on reducing heat-related health problems, improving public awareness, and ensuring safety and well-being during heatwaves.","Heating, Cooling, Ventilation, Dynamic building envelope, Monitoring and control.","Level 1: Local
Level 2: Regional
Level 3: National","1) Health impact
2) Environmental impact
3) Social impact
4) Operational effectiveness","Applied as needed during heatwaves, with regular evaluations.",2013,2023,https://www.rivm.nl/ggd-richtlijn-mmk-hitte-gezondheid#gebouw_gebiedsadvies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNMI's 23 Climate Scenarios for the Netherlands,"The framework provides climate projections for the Netherlands, addressing future scenarios for temperature, precipitation, and extreme weather events to aid in adaptation strategies.","1) Understand potential climate changes. 
2) Inform policy and decision-making for climate adaptation.
3) Enhance resilience to climate impacts.",NL,Strategic Plan,Full Launch,"Public administration, researchers, urban planners, building owners, tenants, maintenance companies.","Provides data for incorporating climate resilience into building design and urban planning, emphasizing heat-resistant measures and improved cooling systems.","Addresses public health impacts, community resilience, and urban heat island effects, focusing on vulnerable populations during extreme heat events.",No specific building technologies provided.,"Level 1: Regional
Level 2: National","1) Climate impact
2) Environmental impact
3) Social impact
4) Resilience","Continuously applied and evaluated, with scenarios updated periodically.",2023,First Edition,https://www.knmi.nl/klimaatscenarios23-toolkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handreiking Hitte in Bestaande Woningen 3.0 (Heat in Existing Homes Guide 3.0),"Provides guidelines to address heat stress in existing housing, focusing on vulnerable populations and building resilience against heat.","1) Reduce heat stress in homes. 
2) Protect vulnerable groups. 
3) Provide actionable steps for local governments and housing corporations.",NL,Strategic Plan,Full Launch,"Public administration, housing corporations, urban planners, maintenance companies, healthcare providers.",Recommends integrating heat-resistant measures in building renovations to reduce heat stress.,"Focuses on public health, improving living conditions, and ensuring safety for vulnerable populations during heatwaves.","Cooling, Ventilation, Dynamic building envelope, Monitoring and control.","Level 1: Local
Level 2: Regional","1) Health impact 
2) Environmental impact 
3) Social impact 
4) Resilience",Continuously applied with periodic evaluations.,2024,3.0,"https://klimaatadaptatienederland.nl/hulpmiddelen/overzicht/handreiking-hitte-bestaande-woningen/

https://klimaatadaptatienederland.nl/actueel/actueel/nieuws/2024/concreet-stappenplan-hitteaanpak/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eindrapport AW Hitte en Individuele Maatregelen (Final report AW Heat and Individual Measures) +  Folder_Hittegolf (Brochure_Heatwave),The framework provides practical advice and measures for individuals to prevent heat stress and negative health effects during heatwaves.,"1) Identify effective individual measures against heat stress. 
2) Provide scientifically backed recommendations for heatwave preparedness.",NL,Strategic Plan,Full Launch,"Public administration, healthcare providers, social care organizations, general public.",Advises on integrating cooling and heat-resistant measures in buildings.,"Focuses on public health, community resilience, and ensuring safety during heatwaves, especially for vulnerable populations.","Cooling, Ventilation, Dynamic building envelope, Monitoring and control.","Level 1: Local
Level 2: Regional","1) Health impact 
2) Environmental impact 
3) Social impact 
4) Operational effectiveness",Continuously applied with periodic evaluations.,2021,First Edition,https://awgl.nl/projecten/hittestress-voorkomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat and Health in the WHO European Region: Updated evidence for effective prevention,"Framework to address the health impacts of heatwaves in the WHO European Region, providing updated evidence and recommendations for effective prevention.","1) Prevent heat-related health issues. 
2) Enhance public health response to heatwaves. 
3) Integrate heat adaptation measures into public health policies.",WHO European Region member states,Strategic Plan,Full Launch,"Public administration, healthcare providers, urban planners, social care organizations, general public.",Encourages integrating heat adaptation measures in building designs and urban planning.,"Focuses on protecting vulnerable populations, improving public awareness, and enhancing community resilience.","Cooling, Ventilation, Dynamic building envelope, Monitoring and control.","Level 1: Local
Level 2: Regional
Level 3: National","1) Health impact 
2) Environmental impact 
3) Social impact 
4) Resilience",Continuously applied with periodic evaluations.,2021,First Edition,https://www.who.int/europe/publications/i/item/9789289055406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontwikkeling Standaard Stresstest Hitte (Development of Standard Heat Stress Test),"Framework to standardize heat stress tests for municipalities, provincial governments, and water boards in the Netherlands, addressing heatwaves and extreme temperatures.","1) Identify and map heat stress risks. 
2) Provide standardized heat maps. 
3) Aid local governments in heat adaptation strategies.",NL,Strategic Plan,Full Launch,"Public administration, urban planners, building owners, researchers, healthcare providers.","Integrates heat-resistant measures in building designs and renovations, considering local climate conditions.","Focuses on reducing heat-related health issues, improving urban liveability, and protecting vulnerable populations.","Cooling, Ventilation, Dynamic building envelope, Monitoring and control.","Level 1: Local
Level 2: Regional
Level 3: National","1) Health impact 
2) Environmental impact 
3) Social impact 
4) Operational effectiveness",Continuously applied with periodic evaluations.,2019,First Edition,https://www.rivm.nl/publicaties/ontwikkeling-standaard-stresstest-hitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
